"Team","Type","Subtype","Period","Start Frame","Start Time [s]","End Frame","End Time [s]","From","To","Start X","Start Y","End X","End Y"
"Home","BALL LOST","INTERCEPTION",1,378,15.12,452,18.08,"Player2",NA,0.27,0.78,0.59,0.64
"Home","BALL LOST","INTERCEPTION",1,572,22.88,616,24.64,"Player10",NA,0.5,0.65,0.67,0.44
"Home","BALL LOST","INTERCEPTION",1,1370,54.8,1375,55,"Player8",NA,0.86,0.26,0.88,0.28
"Home","BALL LOST",NA,1,4445,177.8,4453,178.12,"Player10",NA,0.55,0.84,0.57,0.78
"Home","BALL LOST","INTERCEPTION",1,4620,184.8,4679,187.16,"Player1",NA,0.37,0.97,0.65,0.92
"Home","BALL LOST","INTERCEPTION",1,5202,208.08,5228,209.12,"Player1",NA,0.32,0.89,0.33,0.84
"Home","BALL LOST","INTERCEPTION",1,5316,212.64,5384,215.36,"Player1",NA,0.26,0.96,0.64,0.88
"Home","BALL LOST","INTERCEPTION",1,5520,220.8,5550,222,"Player4",NA,0.3,0.43,0.28,0.52
"Home","BALL LOST","INTERCEPTION",1,6864,274.56,6885,275.4,"Player6",NA,0.54,0.3,0.55,0.37
"Home","BALL LOST",NA,1,7199,287.96,7204,288.16,"Player4",NA,0.1,0.01,0.14,0.02
"Home","BALL LOST",NA,1,7472,298.88,7518,300.72,"Player3",NA,0.2,0.29,0.26,0.26
"Home","BALL LOST","GOAL KICK-INTERCEPTION",1,8482,339.28,8576,343.04,"Player11",NA,0.04,0.52,0.64,0.38
"Home","BALL LOST","HEAD",1,8581,343.24,8652,346.08,"Player10",NA,0.6,0.37,0.68,0.35
"Home","BALL LOST","INTERCEPTION",1,10613,424.52,10651,426.04,"Player7",NA,0.75,0.65,0.92,0.46
"Home","BALL LOST","HEAD-INTERCEPTION",1,10742,429.68,10761,430.44,"Player3",NA,0.83,0.54,0.87,0.45
"Home","BALL LOST","INTERCEPTION",1,13672,546.88,13701,548.04,"Player1",NA,0.41,0.85,0.63,0.86
